 RI_ACCESSION 	 GENUS        	 SPECIES      	 ACP          	 ACNO         	 ACCID        	 GEOCTY       	 GEOSTA       	 LAT          	 LON          	 ACELLO       	 LOCALITY     	 PEDIGREE     	 SAMPSTAT     	 SOURCE       	 KERNELS      	 NOTES        	 FLAG         
RIMMA0673	Zea	mays subsp. mays	PI	483606	378542	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: Central race: Cacahuacintle 2008ID: MEX_7	NA
RIMMA0674	Zea	mays subsp. mays	PI	483617	378553	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: Central race: Conico 2008ID: MEX_72\ EXHAUSTED	NA
RIMMA0675	Zea	mays subsp. mays	NSL	287621	217120	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: Central race: Conico 2008ID: PUE_109\ 	NA
RIMMA0676	Zea	mays subsp. mays	PI	487867	382803	Mexico	Zacatecas	NA	NA	NA	Zacatecas	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: Central race: Chalqueno 2008ID: ZAC_4	NA
RIMMA0677	Zea	mays subsp. mays	Ames	28476	715023	Mexico	Zacatecas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: Northwest race: Conico_Norteno 2008ID: ZAC_12\ EXHAUSTED	NA
RIMMA0678	Zea	mays subsp. mays	NSL	285833	214306	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: West race: Conico_Norteno 2008ID: GTO_23	NA
RIMMA0679	Zea	mays subsp. mays	Ames	28536	715083	Guatemala	Quezaltenango	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: West race: Salpor 2008ID: GUA_476	NA
RIMMA0680	Zea	mays subsp. mays	Ames	28448	714995	Mexico	Jalisco	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: West race: Tabloncillo 2008ID: JAL_100\ 7 seeds left	NA
RIMMA0681	Zea	mays subsp. mays	PI	628446	61848	Mexico	Jalisco	19.9333	-103.733	1800	Tapalpa.	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: West race: Serrano_de_Jalisco 2008ID: JAL_133	NA
RIMMA0682	Zea	mays subsp. mays	PI	484571	379507	Mexico	Jalisco	NA	NA	NA	Jalisco	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: West race: Tablilla_de_Ocho 2008ID: JAL_301\ EXHAUSTED	NA
RIMMA0683	Zea	mays subsp. mays	PI	483568	378504	Mexico	Jalisco	NA	NA	NA	Jalisco	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: West race: Dulce_de_Jalisco 2008ID: JAL_78	NA
RIMMA0684	Zea	mays subsp. mays	Ames	28482	715029	Mexico	Nayarit	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: West race: Bofo 2008ID: NAY_203	NA
RIMMA0685	Zea	mays subsp. mays	NSL	287623	217124	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: xHighMex_mixed race: Conico_Norteno 2008ID: AGS_7	NA
RIMMA0686	Zea	mays subsp. mays	PI	484599	379535	Mexico	Puebla	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: xHighMex_mixed race: Arrocillo_Amarillo 2008ID: PUE_91	NA
RIMMA0687	Zea	mays subsp. mays	Ames	28473	715020	Mexico	Queretaro	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Highland Mexican subcluster: xHighMex_mixed race: Conico_Norteno 2008ID: QRO_2, accession has been exhausted, seed sent to double haploid facility in Ames, Iowa for highland/lowland	NA
RIMMA0688	Zea	mays subsp. mays	PI	449483	344419	Brazil	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Brazilian race: Cateto 2008ID: CE_I	NA
RIMMA0689	Zea	mays subsp. mays	PI	298523	683206	Brazil	NA	NA	NA	NA	NA	NA	Breeder's line	Goodman	NA	cluster: Tropical Lowland subcluster: Brazilian race: Dente_Riograndense_Rugoso 2008ID: RGS_IV	NA
RIMMA0690	Zea	mays subsp. mays	PI	444946	339882	Colombia	Magdalena	NA	NA	250	Magdalena State	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Colombian 1 race: Puya 2008ID: MAG_390\ EXHAUSTED	NA
RIMMA0691	Zea	mays subsp. mays	PI	445391	340327	Colombia	Santander	NA	NA	1098	Santander S. State	NA	Other	Goodman	NA	cluster: Tropical Lowland subcluster: Colombian 2 race: Cacao 2008ID: SAS_342\ EXHAUSTED	NA
RIMMA0692	Zea	mays subsp. mays	Ames	28598	715145	Venezuela	Anzoategui	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Colombian 2 race: Guaribero 2008ID: VEN_653	NA
RIMMA0693	Zea	mays subsp. mays	PI	487959	382895	Ecuador	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Cuban race: Cubano_Amarillo_Duro 2008ID: ECU_770	NA
RIMMA0694	Zea	mays subsp. mays	Ames	28487	715034	Guatemala	Chiquimula	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Haitian/Guatemalan race: Nal_Tel_ATB 2008ID: GUA_220	NA
RIMMA0695	Zea	mays subsp. mays	Ames	28567	715114	Guatemala	El Progreso	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Haitian/Guatemalan race: Tuxpeno 2008ID: GUA_456	NA
RIMMA0696	Zea	mays subsp. mays	Ames	28568	715115	Guatemala	El Progreso	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Haitian/Guatemalan race: Tuxpeno 2008ID: GUA_460\ 7 seeds left	NA
RIMMA0697	Zea	mays subsp. mays	PI	483890	378826	Haiti	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Haitian/Guatemalan race: Chandelle 2008ID: HTI_1	NA
RIMMA0698	Zea	mays subsp. mays	PI	490982	385918	Mexico	Tamaulipas	NA	NA	NA	Tamaulipas	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Haitian/Guatemalan race: Raton 2008ID: TAM_25\ 2 seeds left	NA
RIMMA0699	Zea	mays subsp. mays	Ames	28465	715012	Mexico	Chiapas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Mexican Lowlands race: Vandeno 2008ID: CHS_112	NA
RIMMA0700	Zea	mays subsp. mays	NSL	291626	220930	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Mexican Lowlands race: Olotillo 2008ID: CHS_53\ EXHAUSTED	NA
RIMMA0701	Zea	mays subsp. mays	PI	484808	379744	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Mexican Lowlands race: Olotillo 2008ID: CHS_81\ 7 seeds left	NA
RIMMA0702	Zea	mays subsp. mays	Ames	28534	715081	Guatemala	Sacatepequez	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Mexican Lowlands race: Negro_de_Tierra_Caliente 2008ID: GUA_359\ 7 seeds left	NA
RIMMA0703	Zea	mays subsp. mays	NSL	283390	210473	NA	NA	NA	NA	NA	Mexico, Federal District\ 	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Mexican Lowlands race: Nal_Tel 2008ID: YUC_7, seed sent to double haploid facility in Ames, Iowa for highland/lowland\ EXHAUSTED\ \ 20 ct 	NA
RIMMA0704	Zea	mays subsp. mays	Ames	28623	715170	Venezuela	Portuguesa	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Venezuelan race: Tuxpeno 2008ID: VEN_598	NA
RIMMA0705	Zea	mays subsp. mays	Ames	28631	715178	Venezuela	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Venezuelan race: Negrito 2008ID: VEN_673	NA
RIMMA0706	Zea	mays subsp. mays	Ames	28615	715162	Venezuela	Yaracuy	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: Venezuelan race: Costeno 2008ID: VEN_843	NA
RIMMA0707	Zea	mays subsp. mays	PI	487930	382866	Ecuador	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: xTropLow_mixed race: Tuxpeno 2008ID: ECU_604\ 7 seeds left	NA
RIMMA0708	Zea	mays subsp. mays	PI	488376	383312	Ecuador	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: xTropLow_mixed race: YUNQUILLANO_F_ANDAQUI 2008ID: ECU_892\ 7 seeds left	NA
RIMMA0709	Zea	mays subsp. mays	Ames	28452	714999	Mexico	Chiapas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: xTropLowMixed race: Tehua 2008ID: CHS_159\ 7 seeds left	NA
RIMMA0710	Zea	mays subsp. mays	PI	478988	373924	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: xTropLowMixed race: Tepecintle 2008ID: CHS_225\ 7 seeds left	NA
RIMMA0711	Zea	mays subsp. mays	Ames	29075	37297	Mexico	Chiapas	NA	NA	1000	Finca Prusia.	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: xTropLowMixed race: Tehua 2008ID: CHS_29	NA
RIMMA0712	Zea	mays subsp. mays	NSL	291696	221051	Guatemala	Baja Verapaz	NA	NA	NA	NA	NA	Other	Goodman	NA	cluster: Tropical Lowland subcluster: xTropLowMixed race: Oloton 2008ID: GUA_27\ 7 seeds left	NA
RIMMA0713	Zea	mays subsp. mays	PI	489399	384335	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: Tropical Lowland subcluster: xTropLowMixed race: Dzit_Bacal 2008ID: GUA_322	NA
RIMMA0714	Zea	mays subsp. mays	Ames	28458	715005	Mexico	Chiapas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Zapalote_Grande 2008ID: CHS_104	NA
RIMMA0715	Zea	mays subsp. mays	Ames	28454	715001	Mexico	Chiapas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Tehua 2008ID: CHS_204	NA
RIMMA0716	Zea	mays subsp. mays	Ames	28459	715006	Mexico	Chiapas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Zapalote_Grande 2008ID: CHS_224\ 8 seeds left	NA
RIMMA0717	Zea	mays subsp. mays	PI	483926	378862	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Olotillo 2008ID: CHS_52	NA
RIMMA0718	Zea	mays subsp. mays	PI	484805	379741	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Olotillo 2008ID: CHS_56	NA
RIMMA0719	Zea	mays subsp. mays	PI	478974	373910	Mexico	Chiapas	NA	NA	NA	Chiapas	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Tepecintle 2008ID: CHS_76	NA
RIMMA0720	Zea	mays subsp. mays	PI	489372	384308	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Negro_de_Tierra_Caliente 2008ID: GUA_101\ 7 seeds left	NA
RIMMA0721	Zea	mays subsp. mays	Ames	28485	715032	Guatemala	Chiquimula	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Nal_Tel_ATB 2008ID: GUA_111\ 7 seeds left	NA
RIMMA0722	Zea	mays subsp. mays	Ames	28564	715111	Guatemala	Jutiapa	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Dzit_Bacal 2008ID: GUA_131\ 7 seeds left	NA
RIMMA0723	Zea	mays subsp. mays	Ames	28565	715112	Guatemala	Jutiapa	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Dzit_Bacal 2008ID: GUA_134	NA
RIMMA0724	Zea	mays subsp. mays	PI	490826	385762	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Nal_Tel_BTB 2008ID: GUA_145	NA
RIMMA0725	Zea	mays subsp. mays	PI	490827	385763	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Negro_de_Tierra_Caliente 2008ID: GUA_146	NA
RIMMA0726	Zea	mays subsp. mays	PI	504073	399009	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Negro_de_Tierra_Caliente 2008ID: GUA_159	NA
RIMMA0727	Zea	mays subsp. mays	Ames	28555	715102	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Comiteco 2008ID: GUA_241\ 7 seeds left	NA
RIMMA0728	Zea	mays subsp. mays	PI	484969	379905	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Nal_Tel_BTB 2008ID: GUA_280	NA
RIMMA0729	Zea	mays subsp. mays	PI	504090	399026	Guatemala	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Tepecintle 2008ID: GUA_651\ 7 seeds left	NA
RIMMA0730	Zea	mays subsp. mays	Ames	28517	715064	Guatemala	Sacatepequez	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Quicheno_Late 2008ID: GUA_871\ 7 seeds left	NA
RIMMA0731	Zea	mays subsp. mays	PI	484137	379073	Mexico	Oaxaca	NA	NA	NA	Oaxaca	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Bolita 2008ID: OAX_40\ 7 seeds left	NA
RIMMA0732	Zea	mays subsp. mays	Ames	28456	715003	Mexico	Oaxaca	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Zapalote_Chico 2008ID: OAX_48	NA
RIMMA0733	Zea	mays subsp. mays	PI	479054	373990	Mexico	Oaxaca	NA	NA	NA	Oaxaca	NA	Traditional cultivar/landrace	Goodman	NA	cluster: xMixed subcluster: xMixed race: Zapalote_Chico 2008ID: OAX_50\ 7 seeds left	NA
RIMMA0734	Zea	mays subsp. mays	Ames	26028	597271	NA	NA	NA	NA	NA	NA	Ill. Two-ear (from H.A. Wallace  Pioneer TEA54)	Breeder's line	Edwards	NA	BSSS parent	NA
RIMMA0735	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	BSSS parent	Breeder's Line	Edwards	NA	BSSS parents; A3G-3-3-1-313)-01	NA
RIMMA0736	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	BSSS parent	Breeder's Line	Edwards	NA	BSSS parents; Ill. 12E	NA
RIMMA0737	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	BSSS parent	Breeder's Line	Edwards	NA	BSSS parents; I224	NA
RIMMA0738	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	BSSS parent	Breeder's Line	Edwards	NA	BSSS parents; AH83	NA
RIMMA0739	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	BSSS parent	Breeder's Line	Edwards	NA	BSSS parents; WD456	NA
RIMMA0740	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	BSSS parent	Breeder's Line	Edwards	NA	BSSS parents; Oh3167B	NA
RIMMA0741	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	CB parent	Breeder's Line	Edwards	NA	CB parents; BL345	NA
RIMMA0742	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	BSSS parent	Breeder's Line	Edwards	NA	BSSS parents; Tr9-1-1-6	NA
RIMMA0743	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	CB parent	Breeder's Line	Edwards	NA	CB parents; CC5	NA
RIMMA0744	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	Minn.13	Breeder's Line	Goodman	NA	C11; 10204-2/95	NA
RIMMA0745	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	N28 x B73	Breeder's Line	Goodman	NA	N196; 2842-2/03	NA
RIMMA0746	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	Iowa Stiff Stalk Synthetic	Breeder's Line	Goodman	NA	B69; 3091-2/00	NA
RIMMA0747	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	Funk 176A	Breeder's Line	Goodman	NA	AR4; 2737-2/03	NA
RIMMA0748	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	Lancaster Surecrop	Breeder's Line	Goodman	NA	L289; 275-5/04	NA
RIMMA0749	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	Breeder's Line	Goodman	NA	FE2; 1441-2/05	NA
RIMMA0750	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	Breeder's Line	Goodman	NA	LE773; 279-4/04	NA
RIMMA0751	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	K155_x_A321	Breeder's Line	Goodman	NA	PA884P; 2858-5/03	NA
RIMMA0752	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	NA	Breeder's Line	Goodman	NA	C13; 163-2/04	NA
RIMMA0753	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	 (M14 x CI187-2)Oh45 x (Oh45A x Oh45T)Oh45	Breeder's Line	Goodman	NA	Oh545; 2854-2/03	NA
RIMMA0754	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	Wisconsin #25	Breeder's Line	Goodman	NA	WD; 1573-2/04	NA
RIMMA0755	Zea	mays subsp. mays	NA	NA	NA	United States	NA	NA	NA	NA	NA	Iodent	Breeder's Line	Goodman	NA	IDT; 2803-1/03	NA
RIMMA0756	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR17 (Pisankalla), 60 total kernels; 4 packets, including unknown and inbred generations S4 and S6	NA
RIMMA0757	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR29 (Conico Norte–o); 2 packets, inbred generation S3	NA
RIMMA0757	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR29 (Conico Norte?o); 2 packets, inbred generation S3	NA
RIMMA0758	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR24 (Chullpi)	NA
RIMMA0759	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR30 (Conico)	NA
RIMMA076	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0760	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR31 (Dzit Bacal)	NA
RIMMA0761	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR32 (Morado)	NA
RIMMA0762	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	Doebley	NA	MR33 (Mountain Yellow); 1 packet inbred S3	NA
RIMMA0763	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2566	96.029	1877	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0764	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2547	96.032	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0765	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2585	96.0283	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0766	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2603	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0767	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2603	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0768	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2566	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0769	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2547	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0770	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2585	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0771	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2603	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0772	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2626	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0773	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2547	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0774	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2585	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0775	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2603	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0776	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2618	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0777	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2603	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0778	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2603	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0779	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2626	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0780	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.2626	NA	NA	Totontepec	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0782	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	Oloton Reference	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0783	Zea	mays subsp. mays	NA	NA	NA	NA	NA	52.6847	NA	NA	Santiago Choapan	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0784	Zea	mays subsp. mays	NA	NA	NA	NA	NA	52.6072	NA	NA	Jalctepec de Candayoc 	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0785	Zea	mays subsp. mays	NA	NA	NA	NA	NA	50.5448	NA	NA	San Juan Comaltepec 	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0786	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	Corn Project Reference	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0787	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	Comercial Reference	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
RIMMA0788	Zea	mays subsp. mays	NA	NA	NA	NA	NA	17.3392	NA	NA	San Idelfenso Villa alta 	NA	NA	Bennett	NA	Oaxacan landraces for study of Oloton; obtained under a Material Transfer Agreement with the community that does not allow distribution outside of UC collaborators.	NA
