 RI_ACCESSION 	 GENUS        	 SPECIES      	 ACP          	 ACNO         	 ACCID        	 GEOCTY       	 GEOSTA       	 LAT          	 LON          	 ACELLO       	 LOCALITY     	 PEDIGREE     	 SAMPSTAT     	 SOURCE       	 KERNELS      	 NOTES        	 FLAG         
RIMMA0213	Zea	mays subsp. mays	PI	219883	178170	United States	North Dakota	NA	NA	NA	From J.G. Haney.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0214	Zea	mays subsp. mays	PI	219884	178171	United States	North Dakota	NA	NA	NA	From J.G. Haney.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0215	Zea	mays subsp. mays	PI	221866	179550	United States	Missouri	37.8986	-94.2319	260	From E. Grundy  Walker  Missouri.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0216	Zea	mays subsp. mays	PI	221870	179554	United States	Missouri	39.4489	-91.0514	450	From Louisiana  Missouri. Pike county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0217	Zea	mays subsp. mays	PI	221872	179556	United States	Arkansas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0218	Zea	mays subsp. mays	PI	221873	179557	United States	Arkansas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0219	Zea	mays subsp. mays	PI	221874	179558	United States	Texas	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0220	Zea	mays subsp. mays	PI	221876	179560	United States	Tennessee	NA	NA	NA	Grown near New Madrid  Missouri.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0221	Zea	mays subsp. mays	PI	221877	179561	United States	Missouri	36.5864	-89.5278	93	From Koehler  New Madrid  Missouri. New Madrid county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0222	Zea	mays subsp. mays	PI	221878	179562	United States	Missouri	36.5864	-89.5278	93	From Koehler  New Madrid  Missouri. New Madrid county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0223	Zea	mays subsp. mays	PI	221880	179564	United States	Missouri	36.2333	-89.8167	NA	From Gale  Pemiscot County  southeast Missouri.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0224	Zea	mays subsp. mays	PI	221882	179566	United States	Missouri	39.0725	-93.7169	255	From Meinershagen  Higginsville  Missouri. Lafayette county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0225	Zea	mays subsp. mays	PI	221885	179569	United States	Missouri	39.1231	-93.1967	238	From Marshall  Missouri. Saline county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0226	Zea	mays subsp. mays	PI	221889	179573	United States	Missouri	NA	NA	NA	From Ozark area of southern Missouri.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0227	Zea	mays subsp. mays	PI	222314	179812	United States	Nebraska	NA	NA	NA	North-central Nebraska.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0228	Zea	mays subsp. mays	PI	222315	179813	United States	Nebraska	NA	NA	NA	From southwestern Nebraska.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0229	Zea	mays subsp. mays	PI	222316	179814	United States	Nebraska	NA	NA	NA	From east-central Nebraska.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0230	Zea	mays subsp. mays	PI	222317	179815	United States	Nebraska	NA	NA	NA	From central Nebraska.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0231	Zea	mays subsp. mays	PI	222318	179816	United States	Nebraska	NA	NA	NA	From south-central Nebraska.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0232	Zea	mays subsp. mays	PI	222469	179847	United States	Michigan	NA	NA	NA	From Jacob Smithers  Marian  Michigan.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0233	Zea	mays subsp. mays	PI	222470	179848	United States	Michigan	NA	NA	NA	From M.G. Dickerson  Bloomingdale  Michigan.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0234	Zea	mays subsp. mays	PI	222473	179851	United States	Michigan	NA	NA	NA	From John Thurman  Mt. Clemens  Michigan.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0235	Zea	mays subsp. mays	PI	222474	179852	United States	Michigan	NA	NA	NA	From Arthur Jewett  Mason  Michigan.	Duncan	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0236	Zea	mays subsp. mays	PI	222481	179859	United States	Michigan	NA	NA	NA	From Roscoe J. Carl and Son Seed Co.  Lansing  Michigan.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0237	Zea	mays subsp. mays	PI	222483	179861	United States	Michigan	NA	NA	NA	From Albert Deidrich  Richmond  Michigan	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0238	Zea	mays subsp. mays	PI	222494	179872	United States	Michigan	NA	NA	NA	From Roscoe Carl and Son  Seed Co.  Lansing  Michigan.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0239	Zea	mays subsp. mays	PI	222495	179873	United States	Michigan	NA	NA	NA	From D.A. McPherson  Lowell  Michigan.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0240	Zea	mays subsp. mays	PI	222609	179911	United States	Kansas	37.1692	-94.8439	NA	From Oscar Rhoades  Columbus  Kansas. Grown in that area since about 1870.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0241	Zea	mays subsp. mays	PI	222613	179915	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0242	Zea	mays subsp. mays	PI	222614	179916	United States	Kansas	37.8172	-96.8619	NA	C.C. Cunningham  El Dorado  Kansas.	Midland (Oscar Rhoades version) and introduced germplasm.	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0243	Zea	mays subsp. mays	PI	222615	179917	United States	Kansas	37.1675	-37.1694	NA	Certified Midland from Carl Hellwig  Oswego  Kansas.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0244	Zea	mays subsp. mays	PI	222618	179920	United States	Kansas	NA	NA	NA	From Hays Branch Station in 1923 from Ness County and further selected at the Station.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0245	Zea	mays subsp. mays	PI	222621	179923	United States	Kansas	NA	NA	NA	From J.W. Kuhn  Belleville  Kansas.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0246	Zea	mays subsp. mays	PI	222635	179937	United States	Kansas	NA	NA	NA	From Bowman Bros.  Lebo  Kansas. Grown there since 1874.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0247	Zea	mays subsp. mays	PI	222639	179941	United States	Kansas	NA	NA	NA	From Department of Agronomy  Kansas State College 	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0248	Zea	mays subsp. mays	PI	222640	179942	United States	Kansas	NA	NA	NA	From Potwin  Kansas. Grown in Butler County for 55 years.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0249	Zea	mays subsp. mays	PI	222641	179943	United States	Kansas	NA	NA	NA	From Ernest G. Classen  Route 1  Whitewater  Kansas.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0250	Zea	mays subsp. mays	PI	224945	180973	United States	West Virginia	NA	NA	NA	Grown by Merritt Weakley  Williamsburg  West Virginia.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0251	Zea	mays subsp. mays	PI	233001	184581	United States	Missouri	37.8769	-94.0211	275	From Ralph Gundy  Eldorado Springs  Missouri. Cedar county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0252	Zea	mays subsp. mays	PI	233002	184582	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0253	Zea	mays subsp. mays	PI	233006	184586	United States	Missouri	37.8986	-94.2319	260	From Oran Gundy  Walker  Missouri. Vernon county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0254	Zea	mays subsp. mays	PI	233008	184588	United States	Missouri	37.8986	-94.2319	260	From Dixie Hightower  Walker  Missouri. Vernon county.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0255	Zea	mays subsp. mays	PI	233009	184589	NA	NA	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0256	Zea	mays subsp. mays	PI	237000	186108	United States	Missouri	NA	NA	NA	From George Wilkerson  Sedalia  Missouri.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0257	Zea	mays subsp. mays	PI	257506	196837	NA	NA	NA	NA	NA	NA	Open Pollinated Lacaune.	Other	USDA	NA	NA	NA
RIMMA0258	Zea	mays subsp. mays	PI	267179	201239	United States	Minnesota	NA	NA	NA	NA	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0259	Zea	mays subsp. mays	PI	269743	202909	United States	Missouri	NA	NA	NA	Obtained by a county agent who received from W.T. Reiger  Dora  Missouri.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0260	Zea	mays subsp. mays	PI	269744	202910	United States	Missouri	NA	NA	NA	From Perkins family in Adair County who have grown it for years.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
RIMMA0261	Zea	mays subsp. mays	PI	269757	202923	NA	NA	NA	NA	NA	NA	Bulk of Tom Thumb varieties.	Breeder's line	USDA	NA	NA	NA
RIMMA0262	Zea	mays subsp. mays	PI	270297	203367	Argentina	NA	NA	NA	NA	NA	41:2504B Amargo Inbred Line	Breeder's line	USDA	NA	NA	NA
RIMMA0263	Zea	mays subsp. mays	PI	278713	208070	United States	Ohio	NA	NA	NA	From the J.B. Sayre's open pollinated corn collection.	NA	Traditional cultivar/landrace	USDA	NA	NA	NA
